AU,Optus,internet,,,DNS:202.139.83.3 DNS:192.65.91.129
AU,Telstra,telstra.internet,,,DNS:139.130.4.4 DNS:203.50.170.2
AU,Three,3netaccess,a,a,DNS:202.124.68.130 DNS:202.124.76.66
AU,Vodafone,vfinternet.au,,,DNS:192.189.54.33 DNS:210.80.58.3
AT,Connect AT ONE,web.one.at,[userspecific],[userspecific],DNS:194.24.128.100 DNS:194.24.128.102
AT,Max Online,gprsinternet,GPRS,,DNS:213.162.64.1 DNS:213.162.64.2
AT,Max Online Business,business.gprsinternet,GPRS,,DNS:213.162.64.1 DNS:213.162.64.2
AT,Max Online Metro,gprsmetro,GPRS,,DNS:213.162.64.1 DNS:213.162.64.2
AT,Mobilkom A1,A1.net,gprs@a1plus.at,,DNS:194.48.124.200 DNS:194.48.139.254
AT,tele.ring,web,web@telering.at,web,DNS:212.95.31.11 DNS:212.95.31.35
BE,Mobistar,web.pro.be,mobistar,mobistar,DNS:212.65.63.10 DNS:212.65.63.145
BE,Proximus,internet.proximus.be,,,DNS:195.238.2.21 DNS:195.238.2.22
BE,Orange/BASE,orangeinternet,,,
BR,Claro,claro.com.br,claro,claro,
BR,TIM,tim.br,tim,tim,
CA,Rogers AT&T(Internet),internet.com,wapuser1,wap,
CA,Rogers AT&T(VPN),vpn.com,wapuser1,wap,
CA,Fido Microcell,internet.fido.ca,fido,fido,DNS:204.92.15.211
CN,CN Mobile,cmnet,,,
CN,CN Unicom,[none],,,DNS:10.0.2.100
HR,VIPNET Start,gprs0.vipnet.hr,38591,38591,
HR,VIPNET Pro,gprs5.vipnet.hr,38591,38591,
CZ,Cesky Mobil(contract),internet,,,DNS:212.67.64.2
CZ,Cesky Mobil(prepaid),cinternet,,,DNS:212.67.64.2
CZ,Eurotel(contract),internet,,,DNS:160.218.10.200 DNS:160.218.43.200
CZ,Eurotel Go,gointernet,,,DNS:160.218.10.201 DNS:194.228.2.1
CZ,Oscar(contract),internet,,,DNS:217.77.161.130 DNS:217.77.161.131
CZ,Oscar(Oskarta),ointernet,,,DNS:217.77.161.130 DNS:217.77.161.131
CZ,TMobile,internet.tmobile.cz,,,DNS:62.141.0.1 DNS:62.141.0.2
DK,TDC,internet,,,DNS:193.162.146.9 DNS:193.162.153.31
DK,Sonofon,,,,DNS:212.88.64.14 DNS:212.88.64.15
DK,Orange DK,web.orange.dk,,,DNS:212.97.206.131 DNS:212.97.206.161
EG,Click Vodafone,internet.vodafone.net,internet,internet,
EG,MobiNil,mobinilweb,,,
EE,EMT,internet.emt.ee,,,DNS:217.71.33.200 DNS:217.71.32.20
EE,RLE,internet,,,
FI,Dna,internet,,,DNS:217.78.192.78 DNS:217.78.192.22
FI,Radiolinja,internet,,,DNS:213.161.33.200 DNS:193.185.210.10
FI,Sonera,internet,,,DNS:192.89.123.230 DNS:192.89.123.231
FR,Bouygues,ebouygtel.com,,,DNS:62.201.129.99 DNS:62.201.159.99
FR,Bouygues(B2Bouygtel),b2bouygtel.com,,,DNS:62.201.129.99
FR,SFR,websfr,,,DNS:172.20.2.10 DNS:194.6.128.4
FR,Orange,orange.fr,orange,orange,DNS:194.051.003.056 DNS:194.051.003.076
FR,Orange MIB,orangemib,mportail,mib,Proxy:172.16.2.8:8000
DE,D2 Vodafone,web.vodafone.de,,,DNS:139.7.30.125 DNS:139.7.30.126
DE,E-Plus,internet.eplus.de,eplus,gprs,DNS:212.023.97.2 DNS:212.23.97.3
DE,D1 TMobile,internet.td1.de,td1,gprs,DNS:193.254.160.1
DE,Quam,quam.de,quam,quam,
DE,O2(ViagInterkom),internet,,,DNS:195.182.096.28 DNS:195.182.96.61
GR,Telestet,gnet.bonline.gr,yourphonenumber,24680,DNS:212.152.79.19 DNS:212.152.79.20
GR,Vodafone GR,internet.vodafone.gr,guest,guest,DNS:213.249.17.10 DNS:213.249.17.11
GR,Cosmote,internet,,,DNS:195.167.065.194
HK,CSL,hkcslorinternet,,,DNS:202.84.255.1 DNS:203.116.254.150
HK,New World,internet,,,
HK,Orange,web.orangehk.com,,,
HK,People,internet,,,
HK,SmarTone,internet,,,DNS:202.140.96.51 DNS:202.140.96.52
HK,Sunday,internet,,,
HU,Pannon(contract),net,,,DNS:193.225.155.254 DNS:194.149.0.157
HU,Pannon(flatrate),netx,,,DNS:193.225.155.254 DNS:194.149.0.157
HU,Vodafone(prepaid),vitamax.snet.internet.netORinternet.vodafone.net,,,DNS:80.244.97.30 DNS:80.244.96.1
HU,Vodafone(contract),standardnet.vodafone.huORinternet.vodafone.net,,,DNS:80.244.97.30 DNS:80.244.96.1
HU,Westel(contract),internet,wap,wap,DNS:194.176.224.3 DNS:194.176.224.1
IN,AirTel,airtelgprs.com,,,
IN,BPL,bplgprs.com,bplmobile,,DNS:202.169.145.34 DNS:202.169.129.40
IN,Orange,portalnmms,,,DNS:10.11.206.51 DNS:10.11.206.50
ID,IM3,www.indosatm3.net,gprs,im3,
ID,Indosat,satelindogprs.com,,,DNS:202.152.162.66 DNS:202.152.162.67
IE,O2(contract),open.internet,gprs,gprs,DNS:62.40.32.33 DNS:62.40.32.34
IE,O2(prepaid),pp.internet,gprs,gprs,DNS:62.40.32.33 DNS:62.40.32.34
IE,Vodafone,isp.vodafone.ie,vodafone,vodafone,
IL,Cellcom,internetg,,,
IL,MTCVodafone,apn01,,,DNS:10.10.10.30
IL,Orange,internet,,,
IT,BLU Contratto,INTERNET,,,DNS:212.17.192.49 DNS:212.17.192.49
IT,BLU Prepagata,PINTERNET,,,DNS:212.17.192.49 DNS:212.17.192.49
IT,Vodafone Omnitel,web.omnitel.it,,,DNS:194.185.97.134
IT,TIM,uni.tim.it,,,DNS:213.230.155.94 DNS:213.230.130.222
IT,Wind,internet.wind,,,DNS:212.245.255.2
JP,JPhone(Vodafone),phone,j@phone,jphone,
LT,Bite GSM,banga,,,DNS:213.226.131.131 DNS:193.219.32.13
LT,Omnitel Lithuania,gprs.omnitel.net,,,DNS:194.176.32.129 DNS:195.22.175.1
LU,LUXGSM,web.pt.lu,,,DNS:194.154.192.101 DNS:194.154.192.102
LU,VOX mobile,vox.lu,,,
LU,Tango,internet,tango,tango,
MK,Mobimak,internet,internet,mobimak,
MY,DIGI,diginet,,,DNS:203.92.128.131 DNS:203.92.128.132
MY,Maxis,internet.gprs.maxis,,,DNS:202.75.129.101 DNS:10.216.4.21
MY,Timecel,timenet.com.my,,,DNS:203.121.16.85 DNS:203.121.16.120
MY,TM Touch,internet,,,DNS:202.188.0.133
MX,Telcel,internet.itelcel.com,webgprs,webgprs2002,
NL,KPN Mobile,internet,KPN,gprs,DNS:62.133.126.28 DNS:62.133.126.29
NL,O2,internet,,,
NL,Telfort,internet,,,
NL,TMobile,internetORinternetact,tmobileOR,tmobileOR,DNS:193.79.237.39 DNS:193.79.242.39
NL,Vodafone(normal),web.vodafone.nl,vodafone,vodafone,
NL,Vodafone(business),office.vodafone.nl,vodafone,vodafone,
NZ,Vodafone,www.vodafone.net.nz,,,
NO,Telenor Mobil,internet,,,
NO,Netcom,internet.netcom.no,,,DNS:212.45.118.43 DNS:212.45.118.44
PL,ERA,erainternet,erainternet,erainternet,DNS:213.158.194.1
PL,Idea,www.idea.pl,idea,idea,DNS:194.9.223.79 DNS:194.204.159.1
PL,Plus GSM/Polkomtel,www.plusgsm.pl,,,DNS:212.2.96.51 DNS:212.2.96.52
PH,Globe,www.globe.com.ph,globe,globe,DNS:203.127.225.10 DNS:203.127.225.11
PH,Smart,internet,,,DNS:202.57.96.3 DNS:202.57.96.4
PH,SunCellular,minternet,,,
PT,Optimus,internet,,,DNS:194.79.69.129
PT,TMN,internet,,,DNS:194.65.3.20 DNS:194.65.3.21
PT,Vodafone(Telcel),internet.vodafone.pt,,,DNS:212.18.160.133 DNS:212.18.160.134
RU,BeeLine,internet.beeline.ru,beeline,beeline,DNS:194.190.195.66 DNS:194.190.192.34
RU,Megafon(NWGSM),internet.nw,,,
RU,MTS,internet.mts.ru,mts,mts,DNS:213.87.0.1 DNS:213.87.1.1
RU,PrimTel,internet.primtel.ru,,,
CS,Mobtel Srbija,internet,mobtel,gprs,DNS:217.65.192.1
CS,Telekom Srbija,gprsinternet,mts,64,DNS:195.178.38.3
SG,M1,sunsurf,65,user123,DNS:202.79.64.21 DNS:202.79.64.26
SG,SingTel,e-ideas,65IDEAS,IDEAS,DNS:165.21.100.88 DNS:165.21.83.88
SG,Starhub,shwapint,,,DNS:203.116.1.78 DNS:203.116.254.150
SK,Eurotel,internet,,,
SK,Orange,internet,,,
SI,Mobitel,internet,,,DNS:193.189.160.11 DNS:193.189.160.12
SI,Si.mobil,internet.si.mobil,,,DNS:80.95.225.230 DNS:80.95.225.231
ZA,MTN,myMTN,,,
ZA,Cell-c,internet,Cellcis,Cellcis,
ES,Amena,internet,CLIENTE,AMENA,DNS:213.143.33.8 DNS:213.143.32.20
ES,Telefonica(Movistar),movistar.es,movistar,movistar,DNS:194.179.001.100 DNS:194.179.001.101
ES,Vodafone(Airtel),airtelnet.es,vodafone,vodafone,DNS:212.73.32.3 DNS:212.73.32.67
SE,Telia,online.telia.se,,,
SE,Tele2,isplnk1.swip.net,gprs,internet,
SE,Vodafone Europolitan,internet.vodafone.net,,,
CH,Orange,internet,,,DNS:213.55.128.1 DNS:213.55.128.2
CH,Sunrise,internet,internet,internet,DNS:212.35.35.35 DNS:212.35.35.5
CH,Swisscom,gprs.swisscom.ch,,,DNS:164.128.36.34 DNS:164.128.76.39
TW,Chunghwa Telekom,emomeorinternet,,,DNS:10.1.1.1
TW,Far EasTone,fetnet01,,,DNS:210.241.199.199
TW,KG Telecom,internet,,,
TW,Taiwan Cellular,internet,,,
TH,AIS,internet,,,DNS:202.183.255.20 DNS:202.183.255.21
TH,DTAC,www.dtac.co.th,,,DNS:203.155.33.1 DNS:203.44.144.33
TR,Aria,aycell,[userspecific],[userspecific],DNS:212.156.4.1 DNS:212.156.4.4
TR,AVEA,internet,,,
TR,Telsim,wap,vodafone,,
TR,Turkcell,internet,,,DNS:212.252.168.240 DNS:212.252.119.4
UK,Vodafone UK,Internet,wap,wap,
UK,O2 UK(contract),mobile.o2.co.uk,mobileweb,password,DNS:193.113.200.200 DNS:193.113.200.201
